VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge
2.0,2020-01-01 00:34:44,2020-01-01 00:37:10,1.0,0.1,2.0,3.5,0.5,0.5,0.0,0.0,0.3,7.3,2.5
2.0,2020-01-01 00:50:09,2020-01-01 00:55:49,1.0,0.77,1.0,5.5,0.5,0.5,0.93,0.0,0.3,10.23,2.5
2.0,2020-01-01 00:06:10,2020-01-01 00:09:15,5.0,0.39,1.0,4.0,0.5,0.5,2.0,0.0,0.3,9.8,2.5
2.0,2020-01-01 00:13:01,2020-01-01 00:33:31,5.0,4.36,1.0,17.5,0.5,0.5,5.32,0.0,0.3,26.62,2.5
2.0,2020-01-01 00:37:50,2020-01-01 01:02:36,5.0,6.46,1.0,23.5,0.5,0.5,8.19,0.0,0.3,35.49,2.5
1.0,2020-01-01 00:50:06,2020-01-01 01:14:25,1.0,1.3,1.0,14.5,3.0,0.5,3.65,0.0,0.3,21.95,2.5
1.0,2020-01-01 00:16:02,2020-01-01 00:32:30,1.0,3.3,2.0,14.0,3.0,0.5,0.0,0.0,0.3,17.8,2.5
1.0,2020-01-01 00:37:42,2020-01-01 01:03:37,1.0,3.9,1.0,18.0,3.0,0.5,4.35,0.0,0.3,26.15,2.5
2.0,2020-01-01 00:11:49,2020-01-01 00:23:02,5.0,1.89,1.0,9.5,0.5,0.5,2.0,0.0,0.3,15.3,2.5
2.0,2020-01-01 00:30:07,2020-01-01 00:41:32,5.0,1.49,1.0,9.0,0.5,0.5,1.92,0.0,0.3,14.72,2.5
2.0,2020-01-01 00:46:58,2020-01-01 01:20:27,5.0,5.76,2.0,24.0,0.5,0.5,0.0,0.0,0.3,27.8,2.5
1.0,2020-01-01 00:06:02,2020-01-01 00:07:08,1.0,0.3,1.0,3.0,3.0,0.5,1.35,0.0,0.3,8.15,2.5
1.0,2020-01-01 00:12:26,2020-01-01 00:16:32,1.0,0.7,2.0,5.0,3.0,0.5,0.0,0.0,0.3,8.8,2.5
1.0,2020-01-01 00:23:22,2020-01-01 00:28:36,1.0,0.5,1.0,5.0,3.0,0.5,1.75,0.0,0.3,10.55,2.5
1.0,2020-01-01 00:34:54,2020-01-01 00:54:13,1.0,5.4,2.0,19.5,3.0,0.5,0.0,0.0,0.3,23.3,2.5
1.0,2020-01-01 00:54:55,2020-01-01 01:12:36,2.0,2.6,1.0,13.5,3.0,0.5,3.45,0.0,0.3,20.75,2.5
2.0,2020-01-01 00:54:06,2020-01-01 01:10:55,5.0,1.77,1.0,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
1.0,2020-01-01 00:19:44,2020-01-01 00:25:41,1.0,0.6,2.0,5.5,3.0,0.5,0.0,0.0,0.3,9.3,2.5
1.0,2020-01-01 00:26:53,2020-01-01 00:59:48,1.0,5.8,1.0,24.0,3.0,0.5,5.0,0.0,0.3,32.8,2.5
2.0,2020-01-01 00:20:09,2020-01-01 00:25:42,4.0,1.72,2.0,7.0,0.5,0.5,0.0,0.0,0.3,10.8,2.5
2.0,2020-01-01 00:31:18,2020-01-01 00:59:32,1.0,11.3,1.0,34.0,0.5,0.5,9.45,0.0,0.3,47.25,2.5
1.0,2020-01-01 00:15:13,2020-01-01 00:33:53,1.0,1.0,2.0,12.5,3.0,0.5,0.0,0.0,0.3,16.3,2.5
1.0,2020-01-01 00:39:16,2020-01-01 01:03:28,2.0,4.0,1.0,18.5,3.0,0.5,4.0,0.0,0.3,26.3,2.5
2.0,2020-01-01 00:20:48,2020-01-01 00:26:10,1.0,0.89,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,2020-01-01 00:27:50,2020-01-01 00:50:43,1.0,10.52,1.0,31.0,0.5,0.5,6.96,0.0,0.3,41.76,2.5
2.0,2020-01-01 00:40:03,2020-01-01 00:53:07,1.0,2.45,2.0,11.0,0.5,0.5,0.0,0.0,0.3,14.8,2.5
2.0,2020-01-01 00:25:18,2020-01-01 00:30:21,1.0,0.85,2.0,5.5,0.5,0.5,0.0,0.0,0.3,9.3,2.5
2.0,2020-01-01 00:30:56,2020-01-01 00:58:42,1.0,1.86,1.0,17.0,0.5,0.5,5.2,0.0,0.3,26.0,2.5
2.0,2020-01-01 00:09:16,2020-01-01 00:14:31,1.0,0.93,1.0,5.5,0.5,0.5,1.86,0.0,0.3,11.16,2.5
2.0,2020-01-01 00:18:52,2020-01-01 00:20:48,1.0,0.41,1.0,3.5,0.5,0.5,1.46,0.0,0.3,8.76,2.5
2.0,2020-01-01 00:24:46,2020-01-01 00:38:30,1.0,1.47,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
1.0,2020-01-01 00:29:56,2020-01-01 01:06:12,1.0,4.2,1.0,23.5,3.0,0.5,5.46,0.0,0.3,32.76,2.5
1.0,2020-01-01 00:31:56,2020-01-01 00:58:08,1.0,4.4,2.0,20.0,3.0,0.5,0.0,0.0,0.3,23.8,2.5
2.0,2020-01-01 00:24:56,2020-01-01 00:40:37,2.0,3.29,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,2020-01-01 00:42:23,2020-01-01 01:02:35,1.0,4.52,2.0,17.5,0.5,0.5,0.0,0.0,0.3,21.3,2.5
2.0,2020-01-01 00:20:42,2020-01-01 00:26:22,1.0,0.92,1.0,5.5,0.5,0.5,2.33,0.0,0.3,11.63,2.5
2.0,2020-01-01 00:56:13,2020-01-01 01:06:47,1.0,1.54,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
1.0,2020-01-01 00:25:59,2020-01-01 00:32:21,1.0,0.7,2.0,6.0,3.0,0.5,0.0,0.0,0.3,9.8,2.5
1.0,2020-01-01 00:34:40,2020-01-01 00:49:57,1.0,4.0,1.0,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5
1.0,2020-01-01 00:54:27,2020-01-01 01:20:48,1.0,5.1,2.0,22.5,3.0,0.5,0.0,0.0,0.3,26.3,2.5
2.0,2020-01-01 00:02:28,2020-01-01 00:09:44,1.0,1.62,1.0,7.5,0.5,0.5,3.0,0.0,0.3,11.8,0.0
2.0,2020-01-01 00:13:27,2020-01-01 00:31:48,1.0,4.24,1.0,16.5,0.5,0.5,1.0,0.0,0.3,21.3,2.5
2.0,2020-01-01 00:54:48,2020-01-01 01:31:23,1.0,3.31,1.0,22.5,0.5,0.5,4.0,0.0,0.3,30.3,2.5
1.0,2020-01-01 00:14:21,2020-01-01 00:21:56,1.0,2.0,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
1.0,2020-01-01 00:34:52,2020-01-01 00:45:36,1.0,1.1,4.0,8.5,3.0,0.5,0.0,0.0,0.3,12.3,2.5
1.0,2020-01-01 00:49:03,2020-01-01 00:58:30,2.0,1.6,1.0,8.5,3.0,0.5,2.45,0.0,0.3,14.75,2.5
2.0,2020-01-01 00:19:56,2020-01-01 00:27:48,1.0,1.24,1.0,7.0,0.5,0.5,1.84,0.0,0.3,12.64,2.5
2.0,2020-01-01 00:30:52,2020-01-01 00:34:35,1.0,0.87,1.0,5.0,0.5,0.5,1.76,0.0,0.3,10.56,2.5
2.0,2020-01-01 00:35:39,2020-01-01 00:40:20,1.0,0.97,1.0,5.5,0.5,0.5,2.33,0.0,0.3,11.63,2.5
2.0,2020-01-01 00:47:07,2020-01-01 00:53:31,1.0,1.0,2.0,6.0,0.5,0.5,0.0,0.0,0.3,9.8,2.5
2.0,2020-01-01 00:05:50,2020-01-01 00:16:36,5.0,2.07,1.0,9.5,0.5,0.5,2.66,0.0,0.3,15.96,2.5
2.0,2020-01-01 00:32:16,2020-01-01 00:49:51,4.0,2.08,1.0,12.5,0.5,0.5,3.26,0.0,0.3,19.56,2.5
2.0,2020-01-01 00:51:14,2020-01-01 01:13:51,5.0,4.54,1.0,18.0,0.5,0.5,4.36,0.0,0.3,26.16,2.5
1.0,2020-01-01 00:20:03,2020-01-01 00:30:47,1.0,2.7,1.0,10.5,3.0,0.5,3.55,0.0,0.3,17.85,2.5
1.0,2020-01-01 00:36:17,2020-01-01 00:38:33,3.0,0.6,1.0,4.0,0.5,0.5,0.53,0.0,0.3,5.83,0.0
2.0,2020-01-01 00:32:17,2020-01-01 01:01:02,1.0,7.54,1.0,27.0,0.5,0.5,1.0,0.0,0.3,31.8,2.5
2.0,2020-01-01 00:47:51,2020-01-01 01:06:35,1.0,2.53,1.0,13.0,0.5,0.5,3.36,0.0,0.3,20.16,2.5
1.0,2020-01-01 00:15:04,2020-01-01 00:30:36,2.0,2.0,1.0,11.5,3.0,0.5,3.05,0.0,0.3,18.35,2.5
1.0,2020-01-01 00:31:54,2020-01-01 01:42:07,2.0,8.0,1.0,43.0,3.0,0.5,9.35,0.0,0.3,56.15,2.5
2.0,2020-01-01 00:19:28,2020-01-01 00:27:01,1.0,1.98,1.0,8.5,0.5,0.5,2.46,0.0,0.3,14.76,2.5
2.0,2020-01-01 00:30:19,2020-01-01 00:43:25,1.0,1.55,1.0,10.0,0.5,0.5,2.76,0.0,0.3,16.56,2.5
1.0,2020-01-01 00:20:42,2020-01-01 00:51:42,1.0,4.9,1.0,22.0,3.0,0.5,3.2,0.0,0.3,29.0,2.5
1.0,2020-01-01 00:57:41,2020-01-01 01:16:07,3.0,2.4,1.0,13.5,3.0,0.5,3.46,0.0,0.3,20.76,2.5
1.0,2020-01-01 00:44:45,2020-01-01 01:24:07,1.0,7.9,2.0,29.5,3.0,0.5,0.0,0.0,0.3,33.3,2.5
2.0,2020-01-01 00:06:51,2020-01-01 00:15:18,1.0,2.36,1.0,9.0,0.5,0.5,2.56,0.0,0.3,15.36,2.5
2.0,2020-01-01 00:23:14,2020-01-01 00:36:58,1.0,1.84,1.0,10.5,0.5,0.5,4.29,0.0,0.3,18.59,2.5
2.0,2020-01-01 00:41:08,2020-01-01 01:07:25,1.0,1.62,1.0,16.5,0.5,0.5,5.08,0.0,0.3,25.38,2.5
2.0,2019-12-31 23:58:07,2020-01-01 00:15:26,1.0,11.01,2.0,30.5,0.5,0.5,0.0,0.0,0.3,31.8,0.0
2.0,2020-01-01 00:21:48,2020-01-01 00:30:27,1.0,1.78,2.0,8.5,0.5,0.5,0.0,0.0,0.3,9.8,0.0
2.0,2020-01-01 00:40:21,2020-01-01 00:49:27,1.0,1.5,2.0,8.0,0.5,0.5,0.0,0.0,0.3,9.3,0.0
